"Allied_Nations","Diplomatic_Meetings_Set","Percent_Of_Forces_Mobilized","Hostile_Nations","Active_Threats","Inactive_Threats","Citizen_Fear_Index","Closest_Threat_Distance(km)","Aircraft_Carriers_Responding","Troops_Mobilized(thousands)","DEFCON_Level","ID"
16,1,0.67,3,6,25,0.787812041115999,324.36,1,862400,3,7570
8,1,0.11,2,38,48,0.419236417033762,359.34,0,959200,4,12128
9,1,0.49,3,32,69,0.582232011747428,332.84,1,836000,3,2181
7,0,0.3,2,31,52,0.589574155653448,358.28,1,924000,3,5946
8,1,0.12,5,13,42,0.552863436123348,364.64,0,968000,2,9054
6,1,0.1,2,4,11,0.508810572687221,387.96,1,880000,2,10947
7,1,0.08,2,42,52,0.357562408223192,349.8,1,1038400,4,4717
8,1,0.1,2,34,45,0.378120411160062,348.74,1,1038400,4,8008
10,0,0.65,7,18,39,0.656387665198241,333.9,1,959200,2,8179
8,0,0.29,3,18,58,0.618942731277535,349.8,1,800800,2,6324
7,0,0.3,2,35,53,0.430983847283398,342.38,1,844800,2,3789
10,1,0.22,2,8,28,0.662995594713654,334.96,1,888800,2,8946
10,0,0.73,6,6,17,0.508810572687221,334.96,1,994400,4,3629
6,0,0,2,27,60,0.428046989720995,365.7,1,968000,3,2451
7,1,0.31,4,51,140,0.429515418502201,347.68,1,1038400,4,4028
8,1,0.08,3,15,63,0.552863436123348,354.04,1,836000,2,10493
8,1,0,1,6,13,0.412628487518349,358.28,0,836000,1,20
6,1,0,2,5,27,0.398678414096916,378.42,0,950400,2,2064
7,1,0,2,4,8,0.457415565345074,355.1,1,959200,1,2765
13,0,0.49,6,10,24,0.831864904552135,325.42,1,1056000,3,2938
7,1,0.12,2,4,7,0.457415565345074,344.5,1,871200,2,10309
8,1,0.01,2,5,11,0.367841409691623,358.28,1,1012000,3,3918
8,1,0,1,8,20,0.464757709251094,358.28,1,853600,2,4830
7,1,0.03,2,14,31,0.395007342143898,354.04,1,809600,3,6630
10,0,0.58,3,5,10,0.523494860499261,333.9,1,844800,2,11434
8,1,0.13,2,11,31,0.464757709251094,345.56,1,959200,2,10987
10,0,0.35,2,10,28,0.529368575624075,341.32,1,906400,2,8830
6,1,0.09,2,4,13,0.317914831130681,393.26,1,959200,2,2237
8,0,0.15,6,16,108,0.567547723935388,346.62,0,827200,3,4196
8,0,0.33,2,15,29,0.376651982378848,350.86,1,994400,4,4755
8,1,0.24,2,15,63,0.464757709251094,349.8,1,836000,2,5438
7,0,0.38,1,17,31,0.446402349486045,355.1,1,915200,3,6012
7,1,0,3,21,39,0.453010279001466,357.22,1,950400,2,8779
11,1,0.49,3,9,23,0.589574155653448,349.8,1,897600,2,9273
7,0,0,2,7,20,0.479441997063142,374.18,1,880000,3,9173
7,1,0.12,4,52,71,0.398678414096916,347.68,0,941600,3,6809
8,0,0.1,2,9,50,0.413362701908955,359.34,1,862400,3,7462
8,1,0.13,3,21,89,0.466226138032308,332.84,1,827200,2,382
9,0,0.34,2,45,102,0.523494860499261,326.48,1,862400,2,5152
8,0,0.32,3,24,122,0.479441997063142,349.8,1,818400,2,8616
8,1,0.27,2,17,91,0.428046989720995,352.98,0,836000,2,6514
6,1,0.2,8,55,121,0.376651982378848,344.5,1,985600,3,2210
8,0,0.32,3,26,90,0.479441997063142,352.98,1,827200,2,5783
6,1,0.09,2,7,28,0.303230543318642,373.12,1,1003200,3,4445
9,1,0.21,2,8,28,0.567547723935388,330.72,1,844800,2,10051
8,1,0.1,3,18,101,0.552863436123348,343.44,1,897600,3,6047
5,0,0.25,2,29,55,0.290014684287816,371,1,924000,3,4540
9,1,0.23,2,12,21,0.417767988252572,338.14,1,853600,2,6906
7,0,0.47,2,14,25,0.23568281938325,354.04,1,1073600,4,7290
8,0,0.48,3,39,106,0.523494860499261,349.8,1,800800,1,11278
9,0,0.48,4,3,11,0.633627019089575,337.08,1,1029600,3,6499
8,1,0,2,7,14,0.389867841409682,334.96,1,862400,2,2272
9,1,0.28,2,4,28,0.457415565345074,347.68,1,1038400,3,1180
13,0,0.49,3,5,21,0.77312775330396,328.6,1,827200,3,5780
8,1,0.1,3,18,22,0.538179148311301,338.14,0,836000,2,12089
5,1,0,1,16,46,0.11233480176211,397.5,1,1047200,3,10487
6,1,0.01,2,3,19,0.272393538913349,376.3,1,976800,3,2835
8,1,0.14,2,17,42,0.530837004405281,356.16,1,888800,3,3697
8,0,0.42,2,9,17,0.379588839941259,345.56,1,1100000,5,1564
8,0,0.06,2,12,50,0.435389133627015,344.5,0,853600,2,87
8,0,0.31,2,23,49,0.483847283406751,379.48,1,906400,3,7845
9,1,0.23,2,8,28,0.599853157121879,358.28,0,818400,2,6000
7,1,0,2,22,37,0.491189427312779,354.04,1,853600,4,3168
7,0,0.27,2,23,69,0.503671071952998,381.6,1,827200,2,11015
10,1,0.19,11,31,121,0.656387665198241,341.32,1,915200,2,1459
8,0,0.37,2,6,17,0.270925110132159,346.62,1,1100000,4,7285
6,1,0.14,2,15,20,0.372246696035231,354.04,1,959200,3,3269
8,0,0.36,2,7,17,0.395741556534505,351.92,1,968000,4,2453
12,1,0.49,3,27,99,0.787812041115999,330.72,1,836000,2,10724
8,1,0.27,2,11,79,0.473568281938328,345.56,0,880000,3,11302
7,1,0.02,8,55,124,0.64977973568282,352.98,1,906400,2,5524
12,0,0.58,3,28,54,0.692364170337741,329.66,1,1012000,2,2415
7,0,0.3,2,31,45,0.329662261380318,342.38,0,1135200,3,3318
7,1,0.03,2,7,32,0.442731277533035,356.16,1,880000,2,4950
6,0,0.23,2,13,25,0.335535976505132,377.36,1,1003200,2,8485
8,1,0.29,3,16,28,0.508810572687221,350.86,1,880000,2,9552
7,1,0.13,2,15,20,0.231277533039649,349.8,1,924000,3,1318
7,1,0.08,4,5,21,0.508810572687221,367.82,1,968000,2,11038
8,1,0.15,2,27,109,0.435389133627015,326.48,0,888800,3,24
7,1,0.1,2,12,28,0.464757709251094,365.7,0,897600,2,8932
9,1,0.22,2,5,28,0.655653450807642,351.92,1,968000,2,10990
7,1,0.1,2,12,26,0.444199706314248,362.52,0,924000,2,11035
10,0,0.58,3,7,20,0.508810572687221,333.9,1,924000,2,7291
7,1,0,2,18,32,0.567547723935388,361.46,1,836000,2,1208
8,1,0.06,2,5,11,0.457415565345074,356.16,1,880000,1,10362
8,0,0.19,2,24,38,0.375183553597643,347.68,1,932800,2,1159
10,0,0.42,2,5,13,0.538179148311301,342.38,1,915200,3,9071
7,0,0.47,2,17,29,0.350220264317172,360.4,1,976800,3,5386
8,0,0.26,2,10,28,0.424375917767985,344.5,1,897600,3,1330
7,1,0.2,2,8,25,0.558737151248155,369.94,1,827200,2,3108
7,0,0.44,2,14,67,0.519089574155644,375.24,1,800800,2,1119
8,0,0.4,2,6,15,0.381057268722465,360.4,1,1038400,3,10252
6,0,0.37,2,18,32,0.244493392070475,356.16,1,1135200,4,1491
9,1,0.26,2,4,11,0.685022026431714,356.16,0,853600,2,7003
5,1,0,1,15,28,0.171071953010269,425.06,1,1073600,4,12066
8,1,0,4,5,14,0.611600587371507,356.16,0,836000,1,8060
7,0,0.25,2,3,28,0.428046989720995,349.8,0,862400,2,9682
9,1,0.3,2,5,14,0.582232011747428,348.74,1,871200,2,2002
6,0,0.21,2,20,51,0.480176211453741,359.34,1,862400,2,10816
6,0,0.16,2,12,25,0.372246696035231,375.24,1,1056000,2,8394
8,1,0.23,2,43,145,0.494126284875182,343.44,1,836000,2,5069
7,1,0.06,2,17,26,0.372246696035231,372.06,1,1038400,3,4507
8,1,0.02,1,10,20,0.472099853157122,351.92,1,862400,2,4835
7,0,0.14,3,9,25,0.398678414096916,355.1,1,941600,3,6589
9,0,0.31,2,4,44,0.655653450807642,361.46,1,853600,3,8956
6,0,0.04,2,6,14,0.347283406754769,381.6,1,1003200,1,6418
11,0,0.44,2,6,19,0.491189427312779,347.68,1,968000,2,1739
9,0,0.49,2,23,59,0.452276064610859,340.26,1,915200,2,1081
13,1,0.63,2,6,25,0.633627019089575,336.02,1,950400,2,230
8,0,0.38,1,4,8,0.278267254038179,348.74,1,976800,3,7862
7,1,0.04,2,12,31,0.508810572687221,366.76,0,836000,2,5615
6,1,0.01,2,7,25,0.182819383259905,365.7,1,1170400,3,8718
7,0,0.37,2,9,30,0.470631424375908,351.92,1,809600,2,1796
8,0,0.3,3,29,63,0.552863436123348,349.8,1,915200,3,8646
7,0,0.33,2,12,36,0.479441997063142,343.44,1,880000,3,925
16,1,0.63,3,10,49,0.626284875183555,320.12,1,1012000,4,2300
9,0,0.54,5,10,22,0.338472834067535,340.26,1,1232000,4,6035
7,1,0.02,2,26,42,0.341409691629955,358.28,1,906400,3,645
8,1,0.31,2,38,44,0.267254038179141,347.68,1,836000,2,2384
8,1,0.14,2,13,39,0.535242290748898,351.92,0,844800,3,5453
9,0,0.31,3,12,45,0.626284875183555,351.92,1,888800,3,9005
7,1,0,2,16,38,0.479441997063142,362.52,1,924000,2,4175
10,0,0.37,2,26,86,0.530102790014682,354.04,1,888800,3,9726
6,1,0.11,2,13,26,0.219530102790012,378.42,1,1003200,1,8335
9,0,0.46,2,6,9,0.455947136563869,346.62,1,1047200,3,8382
8,1,0.1,2,5,11,0.494126284875182,375.24,0,862400,3,9993
8,1,0.04,4,5,11,0.611600587371507,362.52,0,836000,1,875
8,1,0.06,2,22,49,0.380323054331858,357.22,1,959200,3,2325
12,0,0.55,2,42,133,0.787812041115999,358.28,0,836000,2,11248
10,0,0.43,2,5,16,0.560205580029368,340.26,1,880000,2,8489
6,1,0.1,2,18,40,0.354625550660789,380.54,1,888800,3,7000
10,0,0.47,2,9,34,0.463289280469889,345.56,1,976800,3,4283
6,1,0,2,6,13,0.182819383259905,387.96,1,1135200,3,3799
8,1,0.55,2,30,110,0.420704845814975,333.9,1,836000,2,7372
13,0,0.65,4,6,15,0.831864904552135,349.8,1,976800,3,9008
6,1,0.02,2,31,63,0.428046989720995,382.66,1,915200,2,11554
7,1,0.18,2,13,28,0.479441997063142,351.92,1,836000,2,10570
8,1,0.1,6,10,26,0.429515418502201,356.16,1,950400,3,12336
10,0,0.53,2,6,26,0.567547723935388,323.3,1,915200,2,9511
7,1,0,2,9,15,0.22834067547723,351.92,1,924000,3,9293
8,0,0.32,2,14,36,0.237151248164455,347.68,1,1012000,3,11680
7,1,0.01,2,13,38,0.363436123348022,355.1,1,968000,3,9844
7,0,0.31,9,24,91,0.570484581497791,358.28,1,862400,3,7236
9,0,0.57,4,3,10,0.477973568281928,350.86,1,1311200,4,11373
9,1,0.25,2,9,38,0.516152716593241,330.72,1,880000,3,3557
10,1,0.42,2,11,103,0.457415565345074,340.26,1,836000,2,841
7,1,0.01,2,9,22,0.406020558002936,362.52,1,968000,3,8482
11,0,0.58,4,5,22,0.655653450807642,331.78,1,1029600,2,10489
7,1,0,2,4,11,0.582232011747428,372.06,0,818400,2,8621
10,0,0.58,3,5,13,0.489720998531565,334.96,1,1073600,4,4769
6,1,0.05,2,19,31,0.270925110132159,377.36,1,1108800,2,6561
11,0,0.47,2,17,39,0.552863436123348,343.44,0,950400,2,10412
10,0,0.38,3,17,53,0.582232011747428,327.54,0,880000,3,722
8,1,0.01,2,3,12,0.377386196769455,374.18,1,1038400,3,4444
7,0,0.33,2,16,144,0.494126284875182,345.56,1,836000,2,7948
7,1,0.02,2,5,13,0.450073421439055,384.78,1,915200,4,9454
7,1,0,2,12,30,0.476505139500731,366.76,1,959200,3,1518
11,0,0.69,2,6,20,0.530837004405281,341.32,1,1012000,2,8816
7,1,0.22,4,20,98,0.459618208516879,344.5,0,827200,2,4818
8,1,0.52,2,13,47,0.523494860499261,321.18,1,932800,2,11878
7,0,0.6,6,13,19,0.475770925110132,361.46,1,1020800,3,879
7,1,0.02,2,4,11,0.457415565345074,361.46,1,880000,2,11437
7,1,0.07,2,16,84,0.541850220264311,376.3,1,862400,2,253
8,0,0.43,2,29,50,0.362701908957415,350.86,1,1073600,4,1542
7,1,0.05,6,3,8,0.588105726872242,365.7,0,968000,1,6986
6,1,0,2,7,19,0.399412628487515,371,0,1003200,2,10288
9,0,0.41,8,48,278,0.831864904552135,334.96,1,924000,4,7061
7,0,0.19,2,18,36,0.494126284875182,375.24,1,950400,3,2189
8,0,0.35,3,5,10,0.360499265785603,347.68,1,1064800,4,9030
7,1,0.09,3,4,20,0.425110132158592,342.38,0,827200,2,5662
9,1,0.41,8,31,121,0.656387665198241,334.96,1,924000,3,1447
9,0,0.27,2,1,44,0.567547723935388,326.48,1,906400,3,6487
7,1,0,4,27,61,0.429515418502201,355.1,1,950400,3,505
7,1,0.06,2,9,17,0.320851688693093,336.02,1,880000,3,3379
10,0,0.2,11,18,43,1,343.44,0,827200,2,9665
7,0,0.11,2,30,52,0.417767988252572,360.4,0,862400,3,8107
10,0,0.46,2,5,16,0.496328928046978,330.72,1,959200,3,9715
8,0,0.34,2,6,17,0.435389133627015,349.8,1,862400,3,11780
7,1,0.09,2,24,49,0.508810572687221,355.1,1,792000,2,8538
8,1,0.26,2,11,41,0.552863436123348,363.58,1,836000,2,784
8,0,0.33,2,16,38,0.442731277533035,357.22,1,968000,3,6884
8,0,0.26,2,10,28,0.421439060205582,336.02,1,897600,3,2895
11,0,0.39,2,3,9,0.347283406754769,339.2,1,968000,4,7463
7,0,0.36,2,21,65,0.520558002936858,365.7,1,836000,2,2426
13,0,0.52,3,5,29,0.633627019089575,339.2,1,950400,4,2831
8,1,0.21,2,21,84,0.398678414096916,330.72,0,818400,2,8511
7,0,0.21,2,21,36,0.400881057268712,359.34,1,796400,2,535
7,0,0,1,27,44,0.428046989720995,355.1,1,1029600,4,4064
10,0,0.49,2,6,13,0.685022026431714,345.56,1,924000,2,6740
9,0,0.23,2,18,47,0.508076358296614,357.22,1,880000,4,4975
7,1,0.02,2,17,34,0.464757709251094,369.94,1,994400,3,7567
12,0,0.55,2,12,29,0.420704845814975,337.08,1,1056000,4,7293
7,1,0.06,2,4,8,0.441262848751829,358.28,1,880000,1,2331
8,1,0,2,18,27,0.558737151248155,359.34,0,844800,1,11061
11,1,0.22,3,33,73,0.75844346549192,358.28,0,985600,2,2055
8,1,0.21,2,21,66,0.398678414096916,349.8,0,836000,2,6088
